Series_Title,Released_Year,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
The Shawshank Redemption,1994,Drama,9.3,80.0,2343110,"28,341,469"
The Godfather,1972,Crime,9.2,100.0,1620367,"134,966,411"
The Dark Knight,2008,Action,9.0,84.0,2303232,"534,858,444"
The Godfather: Part II,1974,Crime,9.0,90.0,1129952,"57,300,000"
12 Angry Men,1957,Crime,9.0,96.0,689845,"4,360,000"
The Lord of the Rings: The Return of the King,2003,Action,8.9,94.0,1642758,"377,845,905"
Pulp Fiction,1994,Crime,8.9,94.0,1826188,"107,928,762"
Schindler's List,1993,Biography,8.9,94.0,1213505,"96,898,818"
Inception,2010,Action,8.8,74.0,2067042,"292,576,195"
Fight Club,1999,Drama,8.8,66.0,1854740,"37,030,102"
The Lord of the Rings: The Fellowship of the Ring,2001,Action,8.8,92.0,1661481,"315,544,750"
Forrest Gump,1994,Drama,8.8,82.0,1809221,"330,252,182"
"Il buono, il brutto, il cattivo",1966,Western,8.8,90.0,688390,"6,100,000"
The Lord of the Rings: The Two Towers,2002,Action,8.7,87.0,1485555,"342,551,365"
The Matrix,1999,Action,8.7,73.0,1676426,"171,479,930"
Goodfellas,1990,Biography,8.7,90.0,1020727,"46,836,394"
Star Wars: Episode V - The Empire Strikes Back,1980,Action,8.7,82.0,1159315,"290,475,067"
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,83.0,918088,"112,000,000"
Hamilton,2020,Biography,8.6,90.0,55291,
Gisaengchung,2019,Comedy,8.6,96.0,552778,"53,367,844"
Soorarai Pottru,2020,Drama,8.6,,54995,
Interstellar,2014,Adventure,8.6,74.0,1512360,"188,020,017"
Cidade de Deus,2002,Crime,8.6,79.0,699256,"7,563,397"
Sen to Chihiro no kamikakushi,2001,Animation,8.6,96.0,651376,"10,055,859"
Saving Private Ryan,1998,Drama,8.6,91.0,1235804,"216,540,909"
The Green Mile,1999,Crime,8.6,61.0,1147794,"136,801,374"
La vita è bella,1997,Comedy,8.6,59.0,623629,"57,598,247"
Se7en,1995,Crime,8.6,65.0,1445096,"100,125,643"
The Silence of the Lambs,1991,Crime,8.6,85.0,1270197,"130,742,922"
Star Wars,1977,Action,8.6,90.0,1231473,"322,740,140"
Seppuku,1962,Action,8.6,85.0,42004,
Shichinin no samurai,1954,Action,8.6,98.0,315744,"269,061"
It's a Wonderful Life,1946,Drama,8.6,89.0,405801,
Joker,2019,Crime,8.5,59.0,939252,"335,451,311"
Whiplash,2014,Drama,8.5,88.0,717585,"13,092,000"
The Intouchables,2011,Biography,8.5,57.0,760360,"13,182,281"
The Prestige,2006,Drama,8.5,66.0,1190259,"53,089,891"
The Departed,2006,Crime,8.5,85.0,1189773,"132,384,315"
The Pianist,2002,Biography,8.5,85.0,729603,"32,572,577"
Gladiator,2000,Action,8.5,67.0,1341460,"187,705,427"
American History X,1998,Drama,8.5,62.0,1034705,"6,719,864"
The Usual Suspects,1995,Crime,8.5,77.0,991208,"23,341,568"
Léon,1994,Action,8.5,64.0,1035236,"19,501,238"
The Lion King,1994,Animation,8.5,88.0,942045,"422,783,777"
Terminator 2: Judgment Day,1991,Action,8.5,75.0,995506,"204,843,350"
Nuovo Cinema Paradiso,1988,Drama,8.5,80.0,230763,"11,990,401"
Hotaru no haka,1988,Animation,8.5,94.0,235231,
Back to the Future,1985,Adventure,8.5,87.0,1058081,"210,609,762"
Once Upon a Time in the West,1968,Western,8.5,80.0,302844,"5,321,508"
Psycho,1960,Horror,8.5,97.0,604211,"32,000,000"
Casablanca,1942,Drama,8.5,100.0,522093,"1,024,560"
Modern Times,1936,Comedy,8.5,96.0,217881,"163,245"
City Lights,1931,Comedy,8.5,99.0,167839,"19,181"
Capharnaüm,2018,Drama,8.4,75.0,62635,"1,661,096"
Ayla: The Daughter of War,2017,Biography,8.4,,34112,
Vikram Vedha,2017,Action,8.4,,28401,
Kimi no na wa.,2016,Animation,8.4,79.0,194838,"5,017,246"
Dangal,2016,Action,8.4,,156479,"12,391,761"
Spider-Man: Into the Spider-Verse,2018,Animation,8.4,87.0,375110,"190,241,310"
Avengers: Endgame,2019,Action,8.4,78.0,809955,"858,373,000"
Avengers: Infinity War,2018,Action,8.4,68.0,834477,"678,815,482"
Coco,2017,Animation,8.4,81.0,384171,"209,726,015"
Django Unchained,2012,Drama,8.4,81.0,1357682,"162,805,434"
The Dark Knight Rises,2012,Action,8.4,78.0,1516346,"448,139,099"
3 Idiots,2009,Comedy,8.4,67.0,344445,"6,532,908"
Taare Zameen Par,2007,Drama,8.4,,168895,"1,223,869"
WALL·E,2008,Animation,8.4,95.0,999790,"223,808,164"
The Lives of Others,2006,Drama,8.4,89.0,358685,"11,286,112"
Oldeuboi,2003,Action,8.4,77.0,515451,"707,481"
Memento,2000,Mystery,8.4,80.0,1125712,"25,544,867"
